,train_loss,train_acc,eval_loss,eval_acc,eval_loss,eval_acc
0,3.883538741284929,10.036,3.902285895770109,12.04,3.971141857518391,11.216666666666667
1,3.261869541519438,19.836,3.205939929696578,21.94,3.2888828560032626,20.516666666666666
2,2.7690671667113635,29.18,2.711121163790739,31.07,2.915421711280942,27.752222222222223
3,2.3590921383074788,37.352,2.4842984465104117,35.88,2.6965095815672115,32.343333333333334
4,2.0400851647872145,44.342,2.0975136756896973,43.96,2.39195607687262,38.096666666666664
5,1.81098417979677,49.694,2.196331982371173,42.95,2.7004057599062268,34.73888888888889
6,1.638962050837934,53.818,1.8905326867405372,49.33,2.279352425258945,42.48222222222222
7,1.5032679363894645,57.288,1.8764875176586682,49.29,2.316321197558533,41.45666666666666
8,1.3942604647268115,60.186,1.631568890583666,54.98,2.129877954128791,46.03333333333333
9,1.3134688404210084,62.012,1.6449635270275647,55.03,2.22550983379849,44.845555555555556
10,1.2439149692845162,64.048,1.611264026617702,55.81,2.153483577707613,46.09777777777778
11,1.1711549934218912,66.036,1.4548735935476762,59.58,2.017614854076369,48.70666666666666
12,1.1244299808121703,66.762,1.6455764740328245,55.57,2.2697489632462915,44.88777777777778
